name,affiliation,homepage,scholarid
Palash Das,IIT Jodhpur,http://home.iitj.ac.in/~palashdas,PHUDoo4AAAAJ
Palash Dey,IIT Kharagpur,https://cse.iitkgp.ac.in/~palash,BkDCPiIAAAAJ
Palash Sarkar 0001,ISI Kolkata,https://www.isical.ac.in/~palash,VnxJWVEAAAAJ
Pallab Dasgupta,IIT Kharagpur,http://cse.iitkgp.ac.in/~pallab,Pw4jS9sAAAAJ
Pallavi Jain 0001,IIT Jodhpur,https://pallavijain.weebly.com,Z6Gkk6UAAAAJ
Pankaj Jalote,IIIT Delhi,https://www.iiitd.edu.in/~jalote,NOSCHOLARPAGE
Parag Chaudhuri,IIT Bombay,https://www.cse.iitb.ac.in/~paragc,kOkSgaMAAAAJ
Parag Mausam Singla,IIT Delhi,http://www.cse.iitd.ac.in/~parags,V49BsgMAAAAJ
Parag Singla,IIT Delhi,http://www.cse.iitd.ac.in/~parags,V49BsgMAAAAJ
Paritosh K. Pandya,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~pandya,M_FgkWsAAAAJ
Partha Bhowmick,IIT Kharagpur,http://cse.iitkgp.ac.in/~pb,ExC8yMUAAAAJ
Partha Mukhopadhyay,CMI,http://www.cmi.ac.in/~suryajith,RPCLZDMAAAAJ
Partha P. Talukdar,IISc Bangalore,http://talukdar.net,CIZwXAcAAAAJ
Partha Pakray,National Institute of Technology Silchar,http://cs.nits.ac.in/partha,3pp18IYAAAAJ
Partha Pratim Chakrabarti,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppchak,yq-ekN8AAAAJ
Partha Pratim Chakraborty,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppchak,yq-ekN8AAAAJ
Partha Pratim Das,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppd,UVYRNncAAAAJ
Partha Pratim Roy,IIT Roorkee,http://www.iitr.ac.in/departments/CSE/pages/People+Faculty+Partha_Pratim_Roy.html,7SQRtWUAAAAJ
Partha Pratim Talukdar,IISc Bangalore,http://talukdar.net,CIZwXAcAAAAJ
Pawan Goyal,IIT Kharagpur,http://cse.iitkgp.ac.in/~pawang,F14FHsIAAAAJ
Pawan Goyal 0002,IIT Kharagpur,http://cse.iitkgp.ac.in/~pawang,F14FHsIAAAAJ
Pawan Kumar,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/pawan.kumar,Zt5c_MYAAAAJ
Phalguni Gupta,IIT Kanpur,http://www.cse.iitk.ac.in/users/pg,NOSCHOLARPAGE
Pinaki Mitra,IIT Guwahati,http://www.iitg.ernet.in/pinaki,ZVxC1rB3vXEC
Pinakpani Pal,ISI Kolkata,https://www.isical.ac.in/~pinak,J26Wmf0AAAAJ
Pinki Roy,National Institute of Technology Silchar,http://cs.nits.ac.in/pinki,ZGnPvTIAAAAJ
Pisipati Radha Krishna,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16934,JFzGHMIAAAAJ
Piyus Kedia,IIIT Delhi,https://www.iiitd.ac.in/piyus,f-4PIh4AAAAJ
Piyush P Kurur,IIT Kanpur,http://www.cse.iitk.ac.in/users/ppk,NOSCHOLARPAGE
Piyush Rai,IIT Kanpur,http://cse.iitk.ac.in/users/piyush,D50grEgAAAAJ
Piyush Srivastava 0001,Tata Inst. of Fundamental Research,http://www.tifr.res.in/~piyush.srivastava,FiMu254AAAAJ
Pokhar Mal Jat,DAIICT,http://www.daiict.ac.in/daiict/people/faculty.html,NOSCHOLARPAGE
Polepalli Krishna Reddy,IIIT Hyderabad,http://faculty.iiit.ac.in/~pkreddy,XIgl8kUAAAAJ
Pollipalli Krishna Reddy,IIIT Hyderabad,http://faculty.iiit.ac.in/~pkreddy,XIgl8kUAAAAJ
Ponnurangam Kumaraguru,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/PKguru,MfzQyP8AAAAJ
Ponnurangam Kumarguru,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/PKguru,MfzQyP8AAAAJ
Poonam Goyal,BITS Pilani,http://www.bits-pilani.ac.in/pilani/poonam/profile,YHN0TYMAAAAJ
Prabhat Munshi,IIT Jammu,https://www.iitjammu.ac.in/computer_science_engineering/faculty-list/~prabhatmunshi,fX8XRcwAAAAJ
Pradeesha Ashok,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=PradeeshaAshok,kYEa1aIAAAAJ
Pradip K. Das,IIT Guwahati,http://www.iitg.ernet.in/pkdas,zNNnCEUAAAAJ
Pradipta Maji,ISI Kolkata,https://www.isical.ac.in/~pmaji,RtOqKr0AAAAJ
Prahladh Harsha,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~prahladh,PTv2p1AAAAAJ
Prajakta Nimbhorkar,CMI,http://www.cmi.ac.in/~prajakta,hDBz3EUAAAAJ
Pralay Mitra,IIT Kharagpur,http://cse.iitkgp.ac.in/~pralay,LPzuRBUAAAAJ
Pranab K. Muhuri,South Asian University,http://sau.int/~cilab/pkm.php,Gj-yZscAAAAJ
